time,frequency,confidence
23.120,330.074,0.974791
23.160,329.610,0.967167
23.200,330.026,0.971606
23.240,329.659,0.964709
23.280,329.593,0.963505
23.320,329.947,0.970620
23.360,329.571,0.961598
23.400,329.773,0.969868
23.440,329.827,0.971960
23.480,329.527,0.961238
23.520,330.018,0.970130
23.560,330.241,0.972418
23.600,329.756,0.954499
23.640,329.206,0.937324
23.680,260.897,0.592106
23.720,260.961,0.910981
23.760,262.297,0.952298
23.800,261.744,0.955176
23.840,262.029,0.962471
23.880,261.102,0.941736
23.920,262.326,0.959357
23.960,261.422,0.951149
24.000,261.416,0.948470
24.040,261.391,0.951568
24.080,261.906,0.958687
24.120,260.867,0.936680
24.160,261.965,0.960646
24.200,261.590,0.951675
24.240,261.369,0.947641
24.280,261.600,0.958399
24.320,261.036,0.941127
24.360,261.410,0.949793
24.400,261.336,0.949057
24.440,261.415,0.955843
24.480,261.331,0.954846
24.520,261.773,0.960137
24.560,261.535,0.956350
24.600,261.636,0.959140
24.640,261.525,0.956364
24.680,261.453,0.954519
24.720,261.534,0.956097
24.760,261.278,0.944489
24.800,261.291,0.943810
24.840,261.303,0.944638
24.880,261.474,0.949753
24.920,261.103,0.939406
24.960,261.126,0.940935
25.000,261.392,0.949213
25.040,261.241,0.947349
25.080,261.429,0.953598
25.120,261.324,0.952868
25.160,261.414,0.954679
25.200,261.197,0.946473
25.240,261.337,0.949822
25.280,261.063,0.943332
25.320,261.110,0.945988
25.360,261.108,0.940929
25.400,261.164,0.943370
25.440,261.279,0.944979
25.480,261.205,0.946624
25.520,261.324,0.951817
25.560,261.251,0.949355
25.600,261.015,0.938398
25.640,261.343,0.943318
25.680,295.425,0.532982
25.720,295.522,0.939064
25.760,295.389,0.967561
25.800,293.741,0.964408
25.840,293.790,0.969671
25.880,293.900,0.971383
25.920,294.238,0.973948
25.960,293.722,0.963283
26.000,293.454,0.959819
26.040,294.095,0.976480
26.080,293.422,0.965795
26.120,293.844,0.972556
26.160,293.974,0.974494
26.200,293.950,0.974383
26.240,293.981,0.973342
26.280,293.934,0.974307
26.320,294.417,0.978888
26.360,293.810,0.973282
26.400,293.678,0.970372
26.440,294.083,0.976718
26.480,293.895,0.976753
26.520,294.063,0.976862
26.560,293.682,0.973361
26.600,293.908,0.976182
26.640,294.257,0.980843
26.680,336.996,0.397383
26.720,331.412,0.938491
26.760,329.923,0.946046
26.800,329.129,0.935207
26.840,329.636,0.964838
26.880,329.526,0.954488
26.920,330.035,0.971663
26.960,330.085,0.965632
27.000,330.028,0.973954
27.040,329.112,0.950803
27.080,329.524,0.964843
27.120,330.114,0.975039
27.160,329.598,0.965448
27.200,329.998,0.970990
27.240,329.591,0.965501
27.280,329.687,0.966874
27.320,329.966,0.970194
27.360,329.409,0.958944
27.400,329.870,0.968934
27.440,329.829,0.972938
27.480,329.615,0.962797
27.520,330.077,0.971988
27.560,330.288,0.971662
27.600,329.777,0.951971
27.640,329.204,0.937701
27.680,337.144,0.505756
27.720,344.261,0.730881
27.760,345.792,0.873622
27.800,349.307,0.850077
27.840,349.309,0.945376
27.880,349.106,0.882741
27.920,349.648,0.946748
27.960,348.980,0.967524
28.000,348.753,0.957490
28.040,350.208,0.959016
28.080,350.031,0.954044
28.120,348.165,0.939910
28.160,348.496,0.955214
28.200,349.638,0.968444
28.240,349.880,0.960182
28.280,348.710,0.957368
28.320,348.525,0.957692
28.360,348.861,0.965555
28.400,349.225,0.970091
28.440,349.911,0.968573
28.480,348.778,0.962782
28.520,348.411,0.947166
28.560,349.240,0.967297
28.600,349.215,0.965823
28.640,349.365,0.964360
28.680,341.240,0.664476
28.720,330.649,0.939623
28.760,330.519,0.958641
28.800,329.302,0.944610
28.840,330.058,0.975025
28.880,329.524,0.952826
28.920,329.894,0.962929
28.960,330.273,0.972287
29.000,330.406,0.978206
29.040,328.752,0.941710
29.080,329.643,0.966515
29.120,330.082,0.973621
29.160,329.658,0.968221
29.200,329.826,0.967020
29.240,329.494,0.956681
29.280,329.819,0.969087
29.320,330.130,0.974601
29.360,329.525,0.961863
29.400,329.648,0.965391
29.440,329.727,0.961403
29.480,329.782,0.967608
29.520,330.323,0.972860
29.560,329.893,0.970957
29.600,330.084,0.955323
29.640,329.223,0.930598
29.680,298.728,0.556503
29.720,295.719,0.938876
29.760,295.413,0.964847
29.800,293.730,0.965646
29.840,293.899,0.969378
29.880,294.044,0.971295
29.920,294.155,0.973434
29.960,293.901,0.964575
30.000,293.435,0.958903
30.040,294.196,0.976937
30.080,293.538,0.967584
30.120,293.838,0.970736
30.160,294.204,0.976671
30.200,293.907,0.972847
30.240,294.073,0.973611
30.280,294.000,0.973961
30.320,294.585,0.978438
30.360,293.720,0.971614
30.400,293.641,0.969350
30.440,294.174,0.977467
30.480,294.017,0.976798
30.520,294.006,0.977995
30.560,293.752,0.974051
30.600,293.880,0.976007
30.640,294.300,0.981371
30.680,358.006,0.264324
30.720,391.833,0.705816
30.760,393.984,0.923780
30.800,393.444,0.936475
30.840,393.100,0.944646
30.880,392.879,0.939457
30.920,392.805,0.948708
30.960,392.248,0.955947
31.000,393.336,0.957005
31.040,393.054,0.962779
31.080,393.255,0.964995
31.120,392.500,0.965940
31.160,393.869,0.971677
31.200,392.680,0.971279
31.240,393.515,0.970597
31.280,392.781,0.970074
31.320,392.629,0.971283
31.360,392.643,0.968807
31.400,392.671,0.968349
31.440,392.848,0.970242
31.480,392.488,0.964803
31.520,392.786,0.968958
31.560,392.920,0.966735
31.600,392.582,0.965623
31.640,392.376,0.962931
31.680,260.551,0.626261
31.720,260.488,0.914419
31.760,262.115,0.940350
31.800,261.454,0.932162
31.840,261.805,0.922930
31.880,261.119,0.919468
31.920,262.199,0.940682
31.960,261.090,0.915967
32.000,260.947,0.913000
32.040,261.218,0.926844
32.080,261.710,0.938411
32.120,260.527,0.925515
32.160,261.920,0.943491
32.200,261.325,0.930975
32.240,261.101,0.930360
32.280,261.368,0.938679
32.320,260.961,0.920645
32.360,261.308,0.940009
32.400,261.133,0.937485
32.440,261.369,0.952372
32.480,261.278,0.951576
32.520,261.776,0.960421
32.560,261.564,0.957408
32.600,261.673,0.960339
32.640,261.573,0.958098
32.680,261.299,0.950332
32.720,261.460,0.953207
32.760,261.257,0.943634
32.800,261.332,0.944152
32.840,261.380,0.946538
32.880,261.186,0.942369
32.920,261.066,0.938787
32.960,261.246,0.944749
33.000,261.404,0.949568
33.040,261.233,0.948539
33.080,261.413,0.953248
33.120,261.306,0.951121
33.160,261.442,0.954074
33.200,261.308,0.947964
33.240,261.252,0.948285
33.280,261.063,0.943334
33.320,261.069,0.943212
33.360,261.186,0.942321
33.400,261.176,0.943448
33.440,261.194,0.944374
33.480,261.189,0.948131
33.520,261.292,0.951257
33.560,261.314,0.951996
33.600,261.258,0.948621
33.640,261.392,0.952786
33.680,261.208,0.948772
33.720,261.162,0.948922
33.760,261.204,0.947472
33.800,261.180,0.942507
33.840,261.206,0.945149
33.880,261.251,0.947350
33.920,261.103,0.944070
33.960,261.305,0.950798
34.000,261.229,0.947402
34.040,261.298,0.951147
34.080,261.279,0.950676
34.120,261.141,0.948872
34.160,261.210,0.950976
34.200,261.189,0.948087
34.240,261.236,0.946330
34.280,261.187,0.944093
34.320,261.285,0.949159
34.360,261.147,0.945014
34.400,261.199,0.946371
34.440,261.183,0.945773
34.480,261.369,0.951109
34.520,261.279,0.950666
34.560,261.265,0.950710
34.600,261.145,0.949037
34.640,261.222,0.949283
34.680,261.273,0.947782
34.720,261.208,0.946338
34.760,261.309,0.949071
34.800,261.123,0.943728
34.840,261.300,0.949524
34.880,261.315,0.946040
34.920,261.234,0.945769
34.960,261.330,0.950689
35.000,261.256,0.951016
35.040,261.135,0.947988
35.080,261.319,0.952183
35.120,261.306,0.950711
35.160,261.374,0.951068
35.200,261.331,0.948109
35.240,261.188,0.946209
35.280,261.237,0.944598
35.320,261.254,0.945098
35.360,261.157,0.942048
35.400,261.241,0.948414
35.440,261.325,0.952307
35.480,261.075,0.946784
35.520,261.116,0.943822
35.560,261.556,0.948519
35.600,261.387,0.940517
35.640,261.537,0.942325
35.680,261.367,0.935653
35.720,261.386,0.940735
35.760,261.383,0.938729
35.800,261.321,0.924546
35.840,261.337,0.924237
35.880,261.344,0.921209
35.920,261.993,0.932103
35.960,261.676,0.913854
36.000,262.274,0.518429
