time,frequency,confidence
23.240,329.685,0.967051
23.280,329.578,0.962162
23.320,329.965,0.972525
23.360,329.564,0.956983
23.400,329.919,0.971493
23.440,329.783,0.970897
23.480,329.392,0.956779
23.520,330.211,0.973717
23.560,330.166,0.969033
23.600,329.536,0.948282
23.640,329.339,0.944854
23.680,261.041,0.567963
23.720,261.072,0.914592
23.760,262.368,0.952503
23.800,261.546,0.952443
23.840,262.053,0.963167
23.880,261.160,0.941518
23.920,262.475,0.958649
23.960,261.514,0.951626
24.000,261.559,0.950878
24.040,261.265,0.950776
24.080,261.813,0.960034
24.120,260.914,0.936907
24.160,261.973,0.962890
24.200,261.633,0.954334
24.240,261.336,0.946585
24.280,261.696,0.957809
24.320,261.090,0.940215
24.360,261.344,0.948343
24.400,261.224,0.948366
24.440,261.451,0.957250
24.480,261.443,0.955775
24.520,261.804,0.961163
24.560,261.634,0.958087
24.600,261.624,0.959260
24.640,261.514,0.957348
24.680,261.409,0.951427
24.720,261.508,0.954008
24.760,261.281,0.942306
24.800,261.313,0.945083
24.840,261.186,0.943578
24.880,261.311,0.947217
24.920,261.173,0.939981
24.960,261.222,0.944458
25.000,261.578,0.954323
25.040,261.177,0.947890
25.080,261.465,0.953827
25.120,261.371,0.951017
25.160,261.357,0.952146
25.200,261.208,0.946584
25.240,261.258,0.950265
25.280,261.040,0.943631
25.320,261.139,0.943727
25.360,261.188,0.940733
25.400,261.020,0.939048
25.440,261.255,0.948127
25.480,261.194,0.948613
25.520,261.283,0.949359
25.560,261.259,0.947228
25.600,260.920,0.934776
25.640,261.245,0.943534
25.680,295.319,0.543840
25.720,295.677,0.934096
25.760,295.348,0.966430
25.800,293.763,0.965634
25.840,293.785,0.968419
25.880,293.951,0.970636
25.920,294.230,0.973602
25.960,293.758,0.963798
26.000,293.447,0.958684
26.040,294.141,0.977634
26.080,293.448,0.965932
26.120,293.893,0.972903
26.160,294.097,0.974761
26.200,293.992,0.975355
26.240,294.036,0.973331
26.280,294.016,0.974638
26.320,294.508,0.979202
26.360,293.773,0.973229
26.400,293.656,0.969472
26.440,294.124,0.976686
26.480,294.028,0.977853
26.520,294.031,0.977482
26.560,293.697,0.973534
26.600,293.890,0.975399
26.640,294.254,0.981218
26.680,336.903,0.339122
26.720,331.502,0.935532
26.760,330.077,0.953640
26.800,329.268,0.943844
26.840,329.646,0.964366
26.880,329.605,0.955872
26.920,330.028,0.971469
26.960,329.996,0.966273
27.000,330.083,0.974095
27.040,329.007,0.946335
27.080,329.508,0.964519
27.120,330.193,0.977435
27.160,329.520,0.959652
27.200,329.854,0.967958
27.240,329.726,0.966789
27.280,329.608,0.964124
27.320,330.048,0.973430
27.360,329.417,0.953781
27.400,330.011,0.972759
27.440,329.699,0.968558
27.480,329.502,0.959238
27.520,330.302,0.974148
27.560,330.110,0.968890
27.600,329.545,0.948127
27.640,329.304,0.943226
27.680,333.441,0.524002
27.720,344.445,0.730138
27.760,345.980,0.877189
27.800,349.076,0.857037
27.840,349.169,0.935837
27.880,348.988,0.865280
27.920,349.527,0.942948
27.960,348.977,0.964809
28.000,348.668,0.954081
28.040,350.024,0.954888
28.080,349.723,0.954075
28.120,348.026,0.938640
28.160,348.636,0.960418
28.200,349.688,0.970777
28.240,349.650,0.958192
28.280,348.665,0.956839
28.320,348.575,0.959030
28.360,348.871,0.964512
28.400,349.298,0.967573
28.440,350.111,0.967770
28.480,348.729,0.957863
28.520,348.561,0.948684
28.560,349.247,0.967514
28.600,349.128,0.965059
28.640,349.164,0.964138
28.680,341.388,0.678987
28.720,330.430,0.944671
28.760,330.369,0.956680
28.800,329.631,0.957794
28.840,329.936,0.972061
28.880,329.418,0.947252
28.920,330.009,0.966781
28.960,330.396,0.971833
29.000,330.412,0.979586
29.040,328.898,0.941161
29.080,329.509,0.958253
29.120,330.134,0.974556
29.160,329.813,0.970496
29.200,329.882,0.968268
29.240,329.558,0.961094
29.280,329.866,0.967477
29.320,330.046,0.973320
29.360,329.526,0.963168
29.400,329.500,0.961090
29.440,329.849,0.968949
29.480,329.569,0.962880
29.520,330.316,0.972965
29.560,330.228,0.972634
29.600,329.972,0.953675
29.640,329.340,0.934186
29.680,298.596,0.557078
29.720,295.789,0.938202
29.760,295.489,0.962234
29.800,293.859,0.967559
29.840,293.875,0.969697
29.880,293.945,0.970508
29.920,294.166,0.973092
29.960,293.974,0.967919
30.000,293.454,0.960250
30.040,294.086,0.976526
30.080,293.412,0.963605
30.120,293.909,0.972185
30.160,294.184,0.977492
30.200,293.838,0.972303
30.240,294.031,0.973386
30.280,293.982,0.974210
30.320,294.454,0.978772
30.360,293.714,0.972291
30.400,293.726,0.971009
30.440,294.099,0.977410
30.480,293.865,0.974635
30.520,293.931,0.977140
30.560,293.785,0.974826
30.600,293.855,0.975701
30.640,294.354,0.981182
30.680,294.962,0.325850
30.720,391.431,0.736737
30.760,393.581,0.916746
30.800,393.306,0.930768
30.840,392.979,0.944989
30.880,392.803,0.940840
30.920,392.912,0.948322
30.960,392.150,0.954361
31.000,393.181,0.958399
31.040,393.003,0.959810
31.080,393.365,0.963666
31.120,392.566,0.967201
31.160,393.961,0.973218
31.200,392.801,0.972943
31.240,393.290,0.970102
31.280,392.958,0.967959
31.320,392.647,0.971045
31.360,392.827,0.969844
31.400,392.473,0.967016
31.440,392.877,0.970227
31.480,392.492,0.964299
31.520,392.675,0.966037
31.560,392.991,0.968898
31.600,392.476,0.964187
31.640,392.344,0.961250
31.680,260.564,0.628073
31.720,260.751,0.913703
31.760,262.036,0.942838
31.800,261.219,0.924806
31.840,261.712,0.927129
31.880,261.200,0.919445
31.920,262.146,0.937834
31.960,261.205,0.917999
32.000,260.900,0.912608
32.040,261.288,0.930634
32.080,261.798,0.940664
32.120,260.635,0.920381
32.160,261.914,0.945300
32.200,261.304,0.934602
32.240,261.126,0.929039
32.280,261.397,0.938149
32.320,260.795,0.919843
32.360,261.102,0.937270
32.400,261.040,0.938376
32.440,261.465,0.952939
32.480,261.388,0.952639
32.520,261.770,0.959405
32.560,261.622,0.958404
32.600,261.514,0.957303
32.640,261.501,0.956322
32.680,261.364,0.950044
32.720,261.435,0.950779
32.760,261.268,0.944924
32.800,261.245,0.944064
32.840,261.244,0.944851
32.880,261.199,0.942029
32.920,261.211,0.943155
32.960,261.350,0.949094
33.000,261.497,0.954472
33.040,261.185,0.946968
33.080,261.444,0.952816
33.120,261.301,0.947146
33.160,261.337,0.951596
33.200,261.199,0.947289
33.240,261.163,0.947268
33.280,261.123,0.941614
33.320,261.177,0.941897
33.360,261.261,0.945239
33.400,261.075,0.943174
